# t numerical exact difference
0 1 1 0
0.001 1.001 1.001 2.5e-07
0.002 1.002 1.002 5.00125e-07
0.003 1.003 1.003 7.50375e-07
0.004 1.004 1.004 1.00075e-06
0.005 1.005 1.00501 1.25125e-06
0.006 1.00601 1.00601 1.50187e-06
0.007 1.00701 1.00701 1.75262e-06
0.008 1.00801 1.00802 2.00349e-06
0.009 1.00902 1.00902 2.25449e-06
0.01 1.01002 1.01002 2.50561e-06
0.011 1.01103 1.01103 2.75686e-06
0.012 1.01203 1.01204 3.00823e-06
0.013 1.01304 1.01304 3.25973e-06
0.014 1.01405 1.01405 3.51135e-06
0.015 1.01505 1.01506 3.76309e-06
0.016 1.01606 1.01606 4.01496e-06
0.017 1.01707 1.01707 4.26695e-06
0.018 1.01808 1.01808 4.51906e-06
0.019 1.01909 1.01909 4.7713e-06
0.02 1.02009 1.0201 5.02367e-06
0.021 1.0211 1.02111 5.27615e-06
0.022 1.02212 1.02212 5.52876e-06
0.023 1.02313 1.02313 5.7815e-06
0.024 1.02414 1.02414 6.03436e-06
0.025 1.02515 1.02516 6.28734e-06
0.026 1.02616 1.02617 6.54044e-06
0.027 1.02718 1.02718 6.79367e-06
0.028 1.02819 1.0282 7.04702e-06
0.029 1.0292 1.02921 7.3005e-06
0.03 1.03022 1.03022 7.5541e-06
0.031 1.03123 1.03124 7.80782e-06
0.032 1.03225 1.03226 8.06166e-06
0.033 1.03326 1.03327 8.31563e-06
0.034 1.03428 1.03429 8.56972e-06
0.035 1.0353 1.03531 8.82393e-06
0.036 1.03631 1.03632 9.07827e-06
0.037 1.03733 1.03734 9.33273e-06
0.038 1.03835 1.03836 9.58731e-06
0.039 1.03937 1.03938 9.84201e-06
0.04 1.04039 1.0404 1.00968e-05
0.041 1.04141 1.04142 1.03518e-05
0.042 1.04243 1.04244 1.06069e-05
0.043 1.04345 1.04346 1.08621e-05
0.044 1.04447 1.04448 1.11174e-05
0.045 1.04549 1.04551 1.13728e-05
0.046 1.04652 1.04653 1.16284e-05
0.047 1.04754 1.04755 1.18841e-05
0.048 1.04856 1.04858 1.21399e-05
0.049 1.04959 1.0496 1.23958e-05
0.05 1.05061 1.05062 1.26518e-05
0.051 1.05164 1.05165 1.2908e-05
0.052 1.05266 1.05268 1.31643e-05
0.053 1.05369 1.0537 1.34207e-05
0.054 1.05472 1.05473 1.36773e-05
0.055 1.05574 1.05576 1.39339e-05
0.056 1.05677 1.05678 1.41907e-05
0.057 1.0578 1.05781 1.44476e-05
0.058 1.05883 1.05884 1.47046e-05
0.059 1.05986 1.05987 1.49618e-05
0.06 1.06088 1.0609 1.5219e-05
0.061 1.06191 1.06193 1.54764e-05
0.062 1.06295 1.06296 1.57339e-05
0.063 1.06398 1.06399 1.59916e-05
0.064 1.06501 1.06502 1.62493e-05
0.065 1.06604 1.06606 1.65072e-05
0.066 1.06707 1.06709 1.67652e-05
0.067 1.06811 1.06812 1.70233e-05
0.068 1.06914 1.06916 1.72815e-05
0.069 1.07017 1.07019 1.75399e-05
0.07 1.07121 1.07122 1.77984e-05
0.071 1.07224 1.07226 1.8057e-05
0.072 1.07328 1.0733 1.83157e-05
0.073 1.07431 1.07433 1.85745e-05
0.074 1.07535 1.07537 1.88335e-05
0.075 1.07639 1.07641 1.90926e-05
0.076 1.07742 1.07744 1.93518e-05
0.077 1.07846 1.07848 1.96111e-05
0.078 1.0795 1.07952 1.98705e-05
0.079 1.08054 1.08056 2.01301e-05
0.08 1.08158 1.0816 2.03898e-05
0.081 1.08262 1.08264 2.06496e-05
0.082 1.08366 1.08368 2.09095e-05
0.083 1.0847 1.08472 2.11695e-05
0.084 1.08574 1.08576 2.14297e-05
0.085 1.08678 1.08681 2.169e-05
0.086 1.08783 1.08785 2.19504e-05
0.087 1.08887 1.08889 2.22109e-05
0.088 1.08991 1.08994 2.24716e-05
0.089 1.09096 1.09098 2.27323e-05
0.09 1.092 1.09202 2.29932e-05
0.091 1.09305 1.09307 2.32542e-05
0.092 1.09409 1.09412 2.35153e-05
0.093 1.09514 1.09516 2.37766e-05
0.094 1.09618 1.09621 2.40379e-05
0.095 1.09723 1.09726 2.42994e-05
0.096 1.09828 1.0983 2.4561e-05
0.097 1.09933 1.09935 2.48227e-05
0.098 1.10038 1.1004 2.50846e-05
0.099 1.10142 1.10145 2.53465e-05
0.1 1.10247 1.1025 2.56086e-05
0.101 1.10352 1.10355 2.58708e-05
0.102 1.10457 1.1046 2.61331e-05
0.103 1.10563 1.10565 2.63955e-05
0.104 1.10668 1.1067 2.66581e-05
0.105 1.10773 1.10776 2.69208e-05
0.106 1.10878 1.10881 2.71835e-05
0.107 1.10983 1.10986 2.74464e-05
0.108 1.11089 1.11092 2.77095e-05
0.109 1.11194 1.11197 2.79726e-05
0.11 1.113 1.11302 2.82359e-05
0.111 1.11405 1.11408 2.84993e-05
0.112 1.11511 1.11514 2.87628e-05
0.113 1.11616 1.11619 2.90264e-05
0.114 1.11722 1.11725 2.92901e-05
0.115 1.11828 1.11831 2.9554e-05
0.116 1.11933 1.11936 2.9818e-05
0.117 1.12039 1.12042 3.0082e-05
0.118 1.12145 1.12148 3.03463e-05
0.119 1.12251 1.12254 3.06106e-05
0.12 1.12357 1.1236 3.0875e-05
0.121 1.12463 1.12466 3.11396e-05
0.122 1.12569 1.12572 3.14043e-05
0.123 1.12675 1.12678 3.16691e-05
0.124 1.12781 1.12784 3.1934e-05
0.125 1.12887 1.12891 3.2199e-05
0.126 1.12994 1.12997 3.24642e-05
0.127 1.131 1.13103 3.27294e-05
0.128 1.13206 1.1321 3.29948e-05
0.129 1.13313 1.13316 3.32603e-05
0.13 1.13419 1.13422 3.3526e-05
0.131 1.13526 1.13529 3.37917e-05
0.132 1.13632 1.13636 3.40576e-05
0.133 1.13739 1.13742 3.43235e-05
0.134 1.13845 1.13849 3.45896e-05
0.135 1.13952 1.13956 3.48558e-05
0.136 1.14059 1.14062 3.51222e-05
0.137 1.14166 1.14169 3.53886e-05
0.138 1.14273 1.14276 3.56552e-05
0.139 1.14379 1.14383 3.59218e-05
0.14 1.14486 1.1449 3.61886e-05
0.141 1.14593 1.14597 3.64555e-05
0.142 1.147 1.14704 3.67226e-05
0.143 1.14808 1.14811 3.69897e-05
0.144 1.14915 1.14918 3.7257e-05
0.145 1.15022 1.15026 3.75244e-05
0.146 1.15129 1.15133 3.77918e-05
0.147 1.15236 1.1524 3.80595e-05
0.148 1.15344 1.15348 3.83272e-05
0.149 1.15451 1.15455 3.8595e-05
0.15 1.15559 1.15562 3.8863e-05
0.151 1.15666 1.1567 3.91311e-05
0.152 1.15774 1.15778 3.93993e-05
0.153 1.15881 1.15885 3.96676e-05
0.154 1.15989 1.15993 3.9936e-05
0.155 1.16097 1.16101 4.02045e-05
0.156 1.16204 1.16208 4.04732e-05
0.157 1.16312 1.16316 4.0742e-05
0.158 1.1642 1.16424 4.10108e-05
0.159 1.16528 1.16532 4.12799e-05
